Time [s], Analyzer Name, Decoded Protocol Result
61.189872061999999,Async Serial,0xFF
61.190269950000001,Async Serial,0x20
61.190365284000002,Async Serial,0x17
61.190460618000003,Async Serial,0x03
61.190555951999997,Async Serial,0x07
61.190651285999998,Async Serial,0x00
61.190746619999999,Async Serial,0x15
61.190841952000000,Async Serial,0x02
61.190937286000000,Async Serial,0x01
61.191032620000001,Async Serial,0x06
61.191127954000002,Async Serial,0x11
61.191223288000003,Async Serial,0x07
61.191318621999997,Async Serial,0xE4
61.191422621999997,Async Serial,0xBA
61.191517955999998,Async Serial,0x94
61.191613289999999,Async Serial,0xC3
61.191708624000000,Async Serial,0xC9
61.191803956000001,Async Serial,0xB7
61.191899290000002,Async Serial,0xCD
61.191994624000003,Async Serial,0xB0
61.192098624000003,Async Serial,0x9B
61.192193957999997,Async Serial,0x48
61.192289291999998,Async Serial,0x7A
61.192384625999999,Async Serial,0x43
61.192479960000000,Async Serial,0x8A
61.192575294000001,Async Serial,0xE5
61.192670626000002,Async Serial,0x5A
61.192765960000003,Async Serial,0x19
61.194975968000001,Async Serial,0x20
61.195071302000002,Async Serial,0x21
61.195175302000003,Async Serial,0x03
61.195270635999997,Async Serial,0x07
61.195365969999997,Async Serial,0x01
61.195461303999998,Async Serial,0x1F
61.195556637999999,Async Serial,0x1E
61.195651972000000,Async Serial,0xFF
61.195747306000001,Async Serial,0x44
61.195842638000002,Async Serial,0x37
61.195937972000003,Async Serial,0xDF
61.196033305999997,Async Serial,0x01
61.196128639999998,Async Serial,0x14
61.196223973999999,Async Serial,0xB4
61.196319308000000,Async Serial,0x57
61.196414640000000,Async Serial,0xAE
61.196509974000001,Async Serial,0x71
61.196605308000002,Async Serial,0xAE
61.196700642000003,Async Serial,0x10
61.196795975999997,Async Serial,0x20
61.196891309999998,Async Serial,0x20
61.196986643999999,Async Serial,0x20
61.197081976000000,Async Serial,0x20
61.197177310000001,Async Serial,0x20
61.197272644000002,Async Serial,0x53
61.197367978000003,Async Serial,0x49
61.197463311999996,Async Serial,0x4C
61.197567311999997,Async Serial,0x49
61.197662645999998,Async Serial,0x43
61.197757979999999,Async Serial,0x4F
61.197853314000000,Async Serial,0x4E
61.197948646000000,Async Serial,0x20
61.198043980000001,Async Serial,0x4C
61.198139314000002,Async Serial,0x41
61.198243314000003,Async Serial,0x42
61.198338647999996,Async Serial,0x20
61.198433981999997,Async Serial,0x20
61.199352652000002,Async Serial,0x20
61.199447986000003,Async Serial,0x05
61.199543319999997,Async Serial,0x03
61.199638653999997,Async Serial,0x04
61.199733985999998,Async Serial,0x00
61.199829319999999,Async Serial,0x08
61.199924654000000,Async Serial,0x00
61.200019988000001,Async Serial,0x08
61.200115322000002,Async Serial,0x07
61.201016658000000,Async Serial,0x20
61.201111992000001,Async Serial,0x02
61.201207326000002,Async Serial,0x03
61.201302660000003,Async Serial,0x01
61.201397993999997,Async Serial,0x04
61.201493325999998,Async Serial,0x02
71.489454428000002,Async Serial,0xFF
71.489558646000006,Async Serial,0xFF
71.489662863999996,Async Serial,0xFF
71.489767082000000,Async Serial,0xFF
71.489871300000004,Async Serial,0xFF
71.489975517999994,Async Serial,0xFF
71.490079735999998,Async Serial,0xFF
71.490183954000003,Async Serial,0xFF
71.490288172000007,Async Serial,0xFF
71.490392389999997,Async Serial,0xFF
71.490496608000001,Async Serial,0xFF
71.490600826000005,Async Serial,0xFF
71.490705043999995,Async Serial,0xFF
71.490809261999999,Async Serial,0xFF
71.490913480000003,Async Serial,0xFF
71.491017697999993,Async Serial,0xFF
71.537659255999998,Async Serial,0xFF
71.537763474000002,Async Serial,0xFF
71.537867692000006,Async Serial,0xFF
71.537971909999996,Async Serial,0xFF
71.538076128000000,Async Serial,0xFF
71.538180346000004,Async Serial,0xFF
71.538284563999994,Async Serial,0xFF
71.538444408000004,Async Serial,0xFF
71.538548624000001,Async Serial,0xFF
71.538652842000005,Async Serial,0xFF
71.538757059999995,Async Serial,0xFF
71.538861280000006,Async Serial,0xFF
71.538965497999996,Async Serial,0xFF
71.539069716000000,Async Serial,0xFF
86.901463350000000,Async Serial,0x00
86.901558682000001,Async Serial,0x01
86.901654015999995,Async Serial,0x0B
86.901749350000003,Async Serial,0x02
86.901844683999997,Async Serial,0x06
86.902037293999996,Async Serial,0xFF
86.902141512000000,Async Serial,0xFF
86.902245730000004,Async Serial,0xFF
86.902349947999994,Async Serial,0xFF
86.902454165999998,Async Serial,0xFF
86.902558384000002,Async Serial,0xFF
86.902662602000007,Async Serial,0xFF
87.086251790000006,Async Serial,0xFF
87.086356007999996,Async Serial,0xFF
87.086460226000000,Async Serial,0xFF
87.086564444000004,Async Serial,0xFF
87.086668661999994,Async Serial,0xFF
87.086772879999998,Async Serial,0xFF
87.086877098000002,Async Serial,0xFF
87.087286046000003,Async Serial,0x20
87.087381379999997,Async Serial,0x17
87.087476711999997,Async Serial,0x03
87.087572046000005,Async Serial,0x07
87.087667379999999,Async Serial,0x00
87.087762713999993,Async Serial,0x15
87.087858048000001,Async Serial,0x02
87.087953381999995,Async Serial,0x01
87.088048716000003,Async Serial,0x06
87.088144048000004,Async Serial,0x11
87.088239381999998,Async Serial,0x07
87.088334716000006,Async Serial,0xE4
87.088430049999999,Async Serial,0xBA
87.088525383999993,Async Serial,0x94
87.088620718000001,Async Serial,0xC3
87.088716051999995,Async Serial,0xC9
87.088820052000003,Async Serial,0xB7
87.088915385999996,Async Serial,0xCD
87.089010717999997,Async Serial,0xB0
87.089106052000005,Async Serial,0x9B
87.089201385999999,Async Serial,0x48
87.089296719999993,Async Serial,0x7A
87.089392054000001,Async Serial,0x43
87.089487387999995,Async Serial,0x8A
87.089582722000003,Async Serial,0xE5
87.089678054000004,Async Serial,0x5A
87.089773387999998,Async Serial,0x19
87.091966064000005,Async Serial,0x20
87.092061396000005,Async Serial,0x21
87.092156729999999,Async Serial,0x03
87.092252063999993,Async Serial,0x07
87.092347398000001,Async Serial,0x01
87.092442731999995,Async Serial,0x1F
87.092538066000003,Async Serial,0x1E
87.092633399999997,Async Serial,0xFF
87.092728731999998,Async Serial,0x39
87.092824066000006,Async Serial,0x37
87.092919400000000,Async Serial,0xDF
87.093014733999993,Async Serial,0x01
87.093110068000001,Async Serial,0x14
87.093205401999995,Async Serial,0xB4
87.093300733999996,Async Serial,0x57
87.093396068000004,Async Serial,0xAE
87.093491401999998,Async Serial,0x71
87.093595402000005,Async Serial,0xAE
87.093690735999999,Async Serial,0x10
87.093786069999993,Async Serial,0x20
87.093881404000001,Async Serial,0x20
87.093976737999995,Async Serial,0x20
87.094072072000003,Async Serial,0x20
87.094167404000004,Async Serial,0x20
87.094262737999998,Async Serial,0x53
87.094358072000006,Async Serial,0x49
87.094453406000000,Async Serial,0x4C
87.094548739999993,Async Serial,0x49
87.094644074000001,Async Serial,0x43
87.094739407999995,Async Serial,0x4F
87.094834739999996,Async Serial,0x4E
87.094930074000004,Async Serial,0x20
87.095025407999998,Async Serial,0x4C
87.095120742000006,Async Serial,0x41
87.095216076000000,Async Serial,0x42
87.095311409999994,Async Serial,0x20
87.095406741999994,Async Serial,0x20
87.096334080000005,Async Serial,0x20
87.096429413999999,Async Serial,0x05
87.096524747999993,Async Serial,0x03
87.096620079999994,Async Serial,0x04
87.096715414000002,Async Serial,0x00
87.096810747999996,Async Serial,0x08
87.096906082000004,Async Serial,0x00
87.097010081999997,Async Serial,0x08
87.097105416000005,Async Serial,0x07
87.097998086000004,Async Serial,0x20
87.098093419999998,Async Serial,0x02
87.098188754000006,Async Serial,0x03
87.098284088000000,Async Serial,0x01
87.098379420000001,Async Serial,0x04
87.098474753999994,Async Serial,0x02
